model,task,split,n_params,auc_test
gbm,9970,10,400,0.573907103825137
gbm,9970,2,400,0.544880408492341
gbm,9970,3,400,0.546857923497268
gbm,9970,4,400,0.583060109289617
gbm,9970,5,400,0.539344262295082
gbm,9970,6,400,0.515573770491803
gbm,9970,7,400,0.44672131147541
gbm,9970,8,400,0.514617486338798
gbm,9970,9,400,0.472814207650273
gbm,9971,1,400,0.746498599439776
gbm,9971,10,400,0.822916666666667
gbm,9971,2,400,0.606442577030812
gbm,9971,3,400,0.803921568627451
gbm,9971,4,400,0.720229555236729
gbm,9971,5,400,0.658536585365854
gbm,9971,6,400,0.721664275466284
gbm,9971,7,400,0.781922525107604
gbm,9971,8,400,0.730654761904762
gbm,9971,9,400,0.75297619047619
gbm,9976,1,400,0.696923076923077
gbm,9976,10,400,0.735325443786982
gbm,9976,2,400,0.709526627218935
gbm,9976,3,400,0.655739644970414
gbm,9976,4,400,0.68514792899408306
gbm,9976,5,400,0.728520710059172
gbm,9976,6,400,0.716331360946746
gbm,9976,7,400,0.64905325443787
gbm,9976,8,400,0.674201183431953
gbm,9976,9,400,0.650118343195266
gbm,9978,1,400,0.934348739495798
gbm,9978,10,400,0.871044303797468
gbm,9978,2,400,0.901785714285714
gbm,9978,3,400,0.819984243697479
gbm,9978,4,400,0.915703781512605
gbm,9978,5,400,0.950685654008439
gbm,9978,6,400,0.895042194092827
gbm,9978,7,400,0.877637130801688
gbm,9978,8,400,0.842827004219409
gbm,9978,9,400,0.857331223628692
gbm,9980,1,400,0.61
gbm,9980,10,400,0.791836734693878
gbm,9980,2,400,0.96
gbm,9980,3,400,0.59
gbm,9980,4,400,0.875
gbm,9980,5,400,0.926530612244898
gbm,9980,6,400,0.926530612244898
gbm,9980,7,400,0.685714285714286
gbm,9980,8,400,0.987755102040816
gbm,9980,9,400,0.804081632653061
gbm,9983,1,400,0.799325132595411
gbm,9983,10,400,0.768818046737809
gbm,9983,2,400,0.777556785426035
gbm,9983,3,400,0.775730896172028
gbm,9983,4,400,0.767687795457166
gbm,9983,5,400,0.790999185691226
gbm,9983,6,400,0.784644154271878
gbm,9983,7,400,0.78371814827626
gbm,9983,8,400,0.771088297537035
gbm,9983,9,400,0.770031068485749
gbmtuned,10093,1,3844,1
gbmtuned,10093,10,3376,1
gbmtuned,10093,2,3844,1
gbmtuned,10093,3,3376,1
gbmtuned,10093,4,3376,1
gbmtuned,10093,5,3376,1
gbmtuned,10093,6,3376,1
gbmtuned,10093,7,3376,1
gbmtuned,10093,8,3376,1
gbmtuned,10093,9,3376,1
gbmtuned,10101,1,476,0.766081871345029
gbmtuned,10101,10,476,0.768317853457172
gbmtuned,10101,2,236,0.839668615984405
gbmtuned,10101,3,476,0.687134502923977
gbmtuned,10101,4,476,0.691520467836257
gbmtuned,10101,5,476,0.807992202729045
gbmtuned,10101,6,476,0.730019493177388
gbmtuned,10101,7,476,0.734405458089669
gbmtuned,10101,8,476,0.750974658869396
gbmtuned,10101,9,476,0.762641898864809
gbmtuned,14965,1,2236,0.91451296858349
gbmtuned,14965,10,2564,0.923412041474253
gbmtuned,14965,2,3916,0.91584562757553
gbmtuned,14965,3,3916,0.921114914138295
gbmtuned,14965,4,2104,0.92114474696084
gbmtuned,14965,5,3916,0.921113019990832
gbmtuned,14965,6,3916,0.901653969564839
gbmtuned,14965,7,3916,0.905415746426691
gbmtuned,14965,8,2564,0.925868750733982
gbmtuned,14965,9,3916,0.910104708471764
gbmtuned,219,1,3720,0.911939255353749
gbmtuned,219,10,3752,0.917747683833734
gbmtuned,219,2,3720,0.914071368442534
gbmtuned,219,3,3752,0.911311262577085
gbmtuned,219,4,3752,0.914602417766975
gbmtuned,219,5,3752,0.919630959187921
gbmtuned,219,6,3752,0.915916347878373
gbmtuned,219,7,3140,0.925054247839058
gbmtuned,219,8,3752,0.918782242087229
gbmtuned,219,9,3752,0.910973754901116
gbmtuned,31,1,2020,0.832380952380952
gbmtuned,31,10,2020,0.751904761904762
gbmtuned,31,2,3932,0.740952380952381
gbmtuned,31,3,3932,0.73
gbmtuned,31,4,2020,0.792857142857143
gbmtuned,31,5,3932,0.713809523809524
gbmtuned,31,6,3932,0.788571428571429
gbmtuned,31,7,3932,0.796666666666667
gbmtuned,31,8,2020,0.878095238095238
gbmtuned,31,9,2020,0.783333333333333
gbmtuned,34537,1,2996,0.984960575139147
gbmtuned,34537,10,2228,0.985294508047121
gbmtuned,34537,2,3524,0.989400013252054
gbmtuned,34537,3,3524,0.988422674264511
gbmtuned,34537,4,3812,0.98809302941956
gbmtuned,34537,5,1660,0.98174032600053
gbmtuned,34537,6,1660,0.98849527262104
gbmtuned,34537,7,2980,0.987022946378775
gbmtuned,34537,8,2980,0.98771362203418
gbmtuned,34537,9,3524,0.984904595984735
gbmtuned,3485,1,2016,0.991425886774724
gbmtuned,3485,10,3768,0.996812654940385
gbmtuned,3485,2,2332,0.940568475452196
gbmtuned,3485,3,2332,0.970166784120272
gbmtuned,3485,4,2680,0.986375381724219
gbmtuned,3485,5,2680,0.98989898989899
