model,task,split,n_params,auc_test
safe_logreg_gbm,9957,8,46,0.857142857142857
safe_logreg_gbm,9957,9,46,0.942857142857143
safe_logreg_gbm,9970,1,111,0.602660575114217
safe_logreg_gbm,9970,10,117,0.538251366120219
safe_logreg_gbm,9970,2,109,0.558183284063424
safe_logreg_gbm,9970,3,116,0.603688524590164
safe_logreg_gbm,9970,4,115,0.539617486338798
safe_logreg_gbm,9970,5,116,0.587568306010929
safe_logreg_gbm,9970,6,111,0.559699453551913
safe_logreg_gbm,9970,7,112,0.49344262295082
safe_logreg_gbm,9970,8,115,0.51379781420765
safe_logreg_gbm,9970,9,110,0.477049180327869
safe_logreg_gbm,9971,1,25,0.69327731092437
safe_logreg_gbm,9971,10,20,0.757440476190476
safe_logreg_gbm,9971,2,20,0.633053221288515
safe_logreg_gbm,9971,3,21,0.754201680672269
safe_logreg_gbm,9971,4,24,0.720229555236729
safe_logreg_gbm,9971,5,20,0.663558106169297
safe_logreg_gbm,9971,6,21,0.753228120516499
safe_logreg_gbm,9971,7,22,0.81922525107604
safe_logreg_gbm,9971,8,22,0.766369047619048
safe_logreg_gbm,9971,9,23,0.735863095238095
safe_logreg_gbm,9976,1,513,0.657751479289941
safe_logreg_gbm,9976,10,509,0.661834319526627
safe_logreg_gbm,9976,2,513,0.645739644970414
safe_logreg_gbm,9976,3,511,0.606508875739645
safe_logreg_gbm,9976,4,513,0.646923076923077
safe_logreg_gbm,9976,5,512,0.685029585798817
safe_logreg_gbm,9976,6,508,0.579881656804734
safe_logreg_gbm,9976,7,514,0.616627218934911
safe_logreg_gbm,9976,8,516,0.636213017751479
safe_logreg_gbm,9976,9,515,0.593136094674556
safe_logreg_gbm,9978,1,79,0.93172268907563
safe_logreg_gbm,9978,10,77,0.894514767932489
safe_logreg_gbm,9978,2,78,0.879989495798319
safe_logreg_gbm,9978,3,77,0.872899159663866
safe_logreg_gbm,9978,4,78,0.850840336134454
safe_logreg_gbm,9978,5,82,0.899525316455696
safe_logreg_gbm,9978,6,76,0.945675105485232
safe_logreg_gbm,9978,7,76,0.858913502109705
safe_logreg_gbm,9978,8,80,0.842827004219409
safe_logreg_gbm,9978,9,77,0.923786919831224
safe_logreg_gbm,9980,1,34,0.655
safe_logreg_gbm,9980,10,35,0.808163265306122
safe_logreg_gbm,9980,2,36,0.88
safe_logreg_gbm,9980,3,34,0.6
safe_logreg_gbm,9980,4,39,0.735
safe_logreg_gbm,9980,5,40,0.840816326530612
safe_logreg_gbm,9980,6,38,0.869387755102041
safe_logreg_gbm,9980,7,35,0.759183673469388
safe_logreg_gbm,9980,8,39,0.848979591836735
safe_logreg_gbm,9980,9,39,0.681632653061225
safe_logreg_gbm,9983,1,24,0.78121667099043
safe_logreg_gbm,9983,10,23,0.759633481921743
safe_logreg_gbm,9983,2,22,0.759224929378531
safe_logreg_gbm,9983,3,23,0.767460797878473
safe_logreg_gbm,9983,4,22,0.748956892078865
safe_logreg_gbm,9983,5,21,0.763152347803528
safe_logreg_gbm,9983,6,22,0.769753293266459
safe_logreg_gbm,9983,7,24,0.77966011616511
safe_logreg_gbm,9983,8,24,0.759921653383763
safe_logreg_gbm,9983,9,23,0.778144896213247
safe_logreg_gbmtuned,10093,1,15,0.988183947200341
safe_logreg_gbmtuned,10093,10,16,0.997735116479724
safe_logreg_gbmtuned,10093,2,14,1
safe_logreg_gbmtuned,10093,3,15,0.993636755823986
safe_logreg_gbmtuned,10093,4,16,0.997842968075928
safe_logreg_gbmtuned,10093,5,15,0.999460742018982
safe_logreg_gbmtuned,10093,6,16,0.993852459016393
safe_logreg_gbmtuned,10093,7,16,1
safe_logreg_gbmtuned,10093,8,15,0.998382226056946
safe_logreg_gbmtuned,10093,9,14,0.998490077653149
safe_logreg_gbmtuned,10101,1,7,0.75682261208577
safe_logreg_gbmtuned,10101,10,7,0.740970072239422
safe_logreg_gbmtuned,10101,2,8,0.837719298245614
safe_logreg_gbmtuned,10101,3,7,0.672514619883041
safe_logreg_gbmtuned,10101,4,7,0.640350877192982
safe_logreg_gbmtuned,10101,5,7,0.763157894736842
safe_logreg_gbmtuned,10101,6,8,0.717836257309941
safe_logreg_gbmtuned,10101,7,9,0.735867446393762
safe_logreg_gbmtuned,10101,8,8,0.753898635477583
safe_logreg_gbmtuned,10101,9,9,0.756965944272446
safe_logreg_gbmtuned,14965,1,22,0.878433051791486
safe_logreg_gbmtuned,14965,10,20,0.878960662345485
safe_logreg_gbmtuned,14965,2,24,0.886985463196958
safe_logreg_gbmtuned,14965,3,20,0.885661682533309
safe_logreg_gbmtuned,14965,4,20,0.88686115141436
safe_logreg_gbmtuned,14965,5,23,0.897971746896439
safe_logreg_gbmtuned,14965,6,22,0.852923001011475
safe_logreg_gbmtuned,14965,7,22,0.883618607725849
safe_logreg_gbmtuned,14965,8,23,0.893371809782135
safe_logreg_gbmtuned,14965,9,20,0.869595523750715
safe_logreg_gbmtuned,219,1,27,0.857183697530707
safe_logreg_gbmtuned,219,10,24,0.860095661495171
safe_logreg_gbmtuned,219,2,24,0.858403855719807
safe_logreg_gbmtuned,219,3,24,0.844270423384347
safe_logreg_gbmtuned,219,4,20,0.858226532277165
safe_logreg_gbmtuned,219,5,21,0.860772751595536
safe_logreg_gbmtuned,219,6,23,0.860541983959705
safe_logreg_gbmtuned,219,7,24,0.872950205228686
safe_logreg_gbmtuned,219,8,25,0.864977237126295
safe_logreg_gbmtuned,219,9,23,0.847277288330797
safe_logreg_gbmtuned,31,1,23,0.797619047619048
safe_logreg_gbmtuned,31,10,25,0.791428571428571
safe_logreg_gbmtuned,31,2,26,0.740476190476191
safe_logreg_gbmtuned,31,3,28,0.725238095238095
safe_logreg_gbmtuned,31,4,24,0.786666666666667
safe_logreg_gbmtuned,31,5,26,0.715714285714286
safe_logreg_gbmtuned,31,6,27,0.783571428571429
safe_logreg_gbmtuned,31,7,25,0.781428571428571
safe_logreg_gbmtuned,31,8,22,0.820952380952381
safe_logreg_gbmtuned,31,9,26,0.771666666666667
safe_logreg_gbmtuned,34537,1,9,0.974937052743175
safe_logreg_gbmtuned,34537,10,9,0.975523477683756
safe_logreg_gbmtuned,34537,2,9,0.978624436787702
safe_logreg_gbmtuned,34537,3,9,0.975318049297641
safe_logreg_gbmtuned,34537,4,9,0.979783991518685
safe_logreg_gbmtuned,34537,5,9,0.97222866419295
safe_logreg_gbmtuned,34537,6,9,0.97310639258492
safe_logreg_gbmtuned,34537,7,9,0.978303521631743
safe_logreg_gbmtuned,34537,8,9,0.978889995022399
safe_logreg_gbmtuned,34537,9,9,0.971924672307948
safe_logreg_gbmtuned,3485,1,345,0.746770025839793
safe_logreg_gbmtuned,3485,10,410,0.768740408452367
safe_logreg_gbmtuned,3485,2,326,0.779128494244773
safe_logreg_gbmtuned,3485,3,332,0.798214705191449
safe_logreg_gbmtuned,3485,4,366,0.738019732205779
safe_logreg_gbmtuned,3485,5,356,0.773431994362227
safe_logreg_gbmtuned,3485,6,346,0.763742071881607
safe_logreg_gbmtuned,3485,7,357,0.810336871250577
safe_logreg_gbmtuned,3485,8,428,0.781312713965293
safe_logreg_gbmtuned,3485,9,426,0.752508558611734
safe_logreg_gbmtuned,3492,1,5,0.720663265306122
safe_logreg_gbmtuned,3492,10,5,0.575396825396825
safe_logreg_gbmtuned,3492,2,5,0.728316326530612
safe_logreg_gbmtuned,3492,3,5,0.651785714285714
safe_logreg_gbmtuned,3492,4,5,0.70280612244898
safe_logreg_gbmtuned,3492,5,5,0.748086734693878
safe_logreg_gbmtuned,3492,6,5,0.709821428571429
safe_logreg_gbmtuned,3492,7,5,0.779100529100529
safe_logreg_gbmtuned,3492,8,5,0.744047619047619
safe_logreg_gbmtuned,3492,9,5,0.878306878306878
safe_logreg_gbmtuned,3493,1,5,0.55
safe_logreg_gbmtuned,3493,10,5,0.481684981684982
safe_logreg_gbmtuned,3493,2,6,0.4925
safe_logreg_gbmtuned,3493,3,5,0.59375
safe_logreg_gbmtuned,3493,4,5,0.4775
safe_logreg_gbmtuned,3493,5,6,0.615
safe_logreg_gbmtuned,3493,6,5,0.395604395604396
safe_logreg_gbmtuned,3493,7,5,0.550671550671551
safe_logreg_gbmtuned,3493,8,5,0.6001221001221
safe_logreg_gbmtuned,3493,9,5,0.492673992673993
safe_logreg_gbmtuned,3494,1,6,0.964240102171137
safe_logreg_gbmtuned,3494,10,6,1
safe_logreg_gbmtuned,3494,2,5,0.992975734355045
safe_logreg_gbmtuned,3494,3,6,1
safe_logreg_gbmtuned,3494,4,6,1
safe_logreg_gbmtuned,3494,5,6,1
safe_logreg_gbmtuned,3494,6,6,1
safe_logreg_gbmtuned,3494,7,5,0.998010610079576
safe_logreg_gbmtuned,3494,8,6,0.953580901856764
safe_logreg_gbmtuned,3494,9,6,0.945623342175066
safe_logreg_gbmtuned,37,1,22,0.877407407407407
safe_logreg_gbmtuned,37,10,22,0.764615384615385
safe_logreg_gbmtuned,37,2,22,0.78037037037037
safe_logreg_gbmtuned,37,3,22,0.832592592592593
safe_logreg_gbmtuned,37,4,20,0.812592592592593
safe_logreg_gbmtuned,37,5,20,0.817407407407407
safe_logreg_gbmtuned,37,6,21,0.888888888888889
safe_logreg_gbmtuned,37,7,22,0.840740740740741
safe_logreg_gbmtuned,37,8,21,0.854814814814815
safe_logreg_gbmtuned,37,9,23,0.839230769230769
safe_logreg_gbmtuned,3891,1,926,0.804492291334397
safe_logreg_gbmtuned,3891,10,918,0.772610294117647
safe_logreg_gbmtuned,3891,2,914,0.741626794258373
safe_logreg_gbmtuned,3891,3,940,0.815390749601276
safe_logreg_gbmtuned,3891,4,929,0.824976741095162
safe_logreg_gbmtuned,3891,5,926,0.837652844231792
safe_logreg_gbmtuned,3891,6,921,0.78670654702559
safe_logreg_gbmtuned,3891,7,924,0.782469258889997
safe_logreg_gbmtuned,3891,8,923,0.795380525091392
safe_logreg_gbmtuned,3891,9,932,0.818499331550802
safe_logreg_gbmtuned,3899,1,12,0.902945542884135
safe_logreg_gbmtuned,3899,10,9,0.876664976335362
safe_logreg_gbmtuned,3899,2,8,0.871957734440021
safe_logreg_gbmtuned,3899,3,12,0.903986811225829
safe_logreg_gbmtuned,3899,4,10,0.890756798704366
safe_logreg_gbmtuned,3899,5,10,0.887705160792076
safe_logreg_gbmtuned,3899,6,11,0.910346302720776
safe_logreg_gbmtuned,3899,7,11,0.86382893692551
safe_logreg_gbmtuned,3899,8,11,0.89157612111683
safe_logreg_gbmtuned,3899,9,10,0.902164563143265
safe_logreg_gbmtuned,3902,1,61,0.836805555555556
safe_logreg_gbmtuned,3902,10,45,0.948069852941176
safe_logreg_gbmtuned,3902,2,67,0.8515625
safe_logreg_gbmtuned,3902,3,59,0.905381944444444
safe_logreg_gbmtuned,3902,4,65,0.874348958333333
safe_logreg_gbmtuned,3902,5,67,0.891059027777778
safe_logreg_gbmtuned,3902,6,44,0.906032986111111
safe_logreg_gbmtuned,3902,7,45,0.887803819444444
safe_logreg_gbmtuned,3902,8,52,0.898654513888889
safe_logreg_gbmtuned,3902,9,70,0.875459558823529
safe_logreg_gbmtuned,3903,1,54,0.711214539007092
safe_logreg_gbmtuned,3903,10,46,0.7703125
safe_logreg_gbmtuned,3903,2,57,0.887854609929078
safe_logreg_gbmtuned,3903,3,60,0.841755319148936
safe_logreg_gbmtuned,3903,4,54,0.833928571428571
safe_logreg_gbmtuned,3903,5,53,0.810491071428571
safe_logreg_gbmtuned,3903,6,45,0.717410714285714
safe_logreg_gbmtuned,3903,7,59,0.683705357142857
safe_logreg_gbmtuned,3903,8,45,0.8484375
safe_logreg_gbmtuned,3903,9,43,0.770982142857143
safe_logreg_gbmtuned,3913,1,30,0.91017316017316
safe_logreg_gbmtuned,3913,10,29,0.909090909090909
safe_logreg_gbmtuned,3913,2,30,0.880952380952381
safe_logreg_gbmtuned,3913,3,30,0.869047619047619
safe_logreg_gbmtuned,3913,4,29,0.883333333333333
safe_logreg_gbmtuned,3913,5,34,0.925
safe_logreg_gbmtuned,3913,6,31,0.835920177383592
safe_logreg_gbmtuned,3913,7,36,0.773835920177384
safe_logreg_gbmtuned,3913,8,29,0.586474501108647
safe_logreg_gbmtuned,3913,9,28,0.722838137472284
safe_logreg_gbmtuned,3917,1,38,0.750611033519553
safe_logreg_gbmtuned,3917,10,38,0.751404494382023
safe_logreg_gbmtuned,3917,2,36,0.792772346368715
safe_logreg_gbmtuned,3917,3,40,0.809619413407821
safe_logreg_gbmtuned,3917,4,38,0.809073884916581
safe_logreg_gbmtuned,3917,5,39,0.753319713993871
safe_logreg_gbmtuned,3917,6,42,0.744807626830099
safe_logreg_gbmtuned,3917,7,37,0.79792305073204
safe_logreg_gbmtuned,3917,8,38,0.850102145045965
safe_logreg_gbmtuned,3917,9,40,0.822097378277154
safe_logreg_gbmtuned,3918,1,31,0.711538461538462
safe_logreg_gbmtuned,3918,10,33,0.719140083217753
safe_logreg_gbmtuned,3918,2,40,0.909340659340659
safe_logreg_gbmtuned,3918,3,28,0.807038834951456
safe_logreg_gbmtuned,3918,4,30,0.646844660194175
safe_logreg_gbmtuned,3918,5,33,0.893810679611651
safe_logreg_gbmtuned,3918,6,35,0.855582524271845
safe_logreg_gbmtuned,3918,7,33,0.83252427184466
safe_logreg_gbmtuned,3918,8,30,0.857402912621359
safe_logreg_gbmtuned,3918,9,30,0.819174757281553
safe_logreg_gbmtuned,3954,1,12,0.996109482817186
safe_logreg_gbmtuned,3954,10,24,0.995100481647567
safe_logreg_gbmtuned,3954,2,12,0.995117140111996
safe_logreg_gbmtuned,3954,3,12,0.995847865803023
safe_logreg_gbmtuned,3954,4,12,0.995425984722571
safe_logreg_gbmtuned,3954,5,12,0.995105937006366
safe_logreg_gbmtuned,3954,6,12,0.993047448286229
safe_logreg_gbmtuned,3954,7,12,0.996309752848
safe_logreg_gbmtuned,3954,8,12,0.993903939617664
safe_logreg_gbmtuned,3954,9,12,0.99489499646614
safe_logreg_gbmtuned,43,1,67,0.980976013234078
safe_logreg_gbmtuned,43,10,69,0.978831263985425
safe_logreg_gbmtuned,43,2,77,0.990572377263025
safe_logreg_gbmtuned,43,3,72,0.984662819195193
safe_logreg_gbmtuned,43,4,73,0.986395770213272
safe_logreg_gbmtuned,43,5,68,0.980861007148656
safe_logreg_gbmtuned,43,6,66,0.982316481514485
safe_logreg_gbmtuned,43,7,72,0.960454662468564
safe_logreg_gbmtuned,43,8,66,0.978910473474722
safe_logreg_gbmtuned,43,9,74,0.981534287807679
safe_logreg_gbmtuned,49,1,10,0.71284271284271306
safe_logreg_gbmtuned,49,10,10,0.772727272727273
safe_logreg_gbmtuned,49,2,10,0.706830206830207
safe_logreg_gbmtuned,49,3,10,0.835497835497836
safe_logreg_gbmtuned,49,4,10,0.690957190957191
safe_logreg_gbmtuned,49,5,10,0.763828763828764
safe_logreg_gbmtuned,49,6,10,0.812409812409812
safe_logreg_gbmtuned,49,7,10,0.689278937381404
safe_logreg_gbmtuned,49,8,10,0.739563567362429
safe_logreg_gbmtuned,49,9,10,0.679618768328446
safe_logreg_gbmtuned,9946,1,71,1
safe_logreg_gbmtuned,9946,10,88,0.994557823129252
safe_logreg_gbmtuned,9946,2,85,0.972883597883598
safe_logreg_gbmtuned,9946,3,62,0.966269841269841
safe_logreg_gbmtuned,9946,4,65,1
safe_logreg_gbmtuned,9946,5,58,1
